"","X","district","min_lat","min_long","max_lat","max_long","income","lat","long"
"77","76","Markland Wood","43.6273501","-79.5840382","43.6417745","-79.5596196","62378","43.6345623","-79.5718289"
"78","77","Milliken","43.8157923","-79.2949276","43.8286316","-79.2634498","28085","43.82221195","-79.2791887"
"79","78","Mimico (includes Humber Bay Shores)","43.6034967","-79.5095353","43.631471","-79.4726501","54438","43.61748385","-79.4910927"
"80","79","Morningside","43.7707878","-79.2199799","43.7946475","-79.1950145","32291","43.78271765","-79.2074972"
"81","80","Moss Park","43.6501415","-79.3741052","43.6640293","-79.3540372","58915","43.655318","-79.369646"
"82","81","Mount Dennis","43.6850757","-79.5085689","43.6939087","-79.4871521","30827","43.6894922","-79.4978605"
"83","82","Mount Olive-Silverstone-Jamestown","43.7321642","-79.599229","43.7592624","-79.5799221","26548","43.7457133","-79.58957555"
"84","83","Mount Pleasant East","43.6987194","-79.399434","43.7172007","-79.375187","85340","43.706706","-79.381864"
"85","84","Mount Pleasant West","43.6960167","-79.3982697","43.7119199","-79.3871417","57039","43.704475","-79.393101"
"86","85","New Toronto","43.5949745","-79.5259266","43.6064548","-79.4981788","44101","43.60071465","-79.5120527"
"87","86","Newtonbrook East","43.7804581","-79.4183207","43.8007309","-79.3960252","45212","43.7905945","-79.40717295"
"88","87","Newtonbrook West","43.775449","-79.4439355","43.7958866","-79.4173942","34904","43.7856678","-79.43066485"
"89","88","Niagara","43.6333903","-79.4218543","43.6455813","-79.3989259","70623","43.6394858","-79.4103901"
"90","89","North Riverdale","43.6660013","-79.3550929","43.6776048","-79.3420869","73253","43.67180305","-79.3485899"
"91","90","North St. James Town","43.66703","-79.3780636","43.6718663","-79.3714183","32648","43.667395","-79.373752"
"92","91","O'Connor-Parkview","43.698102","-79.3251369","43.7164763","-79.2938918","43907","43.70728915","-79.30951435"
"93","92","Oakridge","43.6914449","-79.2884775","43.7000177","-79.2711681","26793","43.6957313","-79.2798228"
"94","93","Oakwood Village","43.6800474","-79.4475561","43.6974773","-79.4296093","39803","43.68876235","-79.4385827"
"95","94","Old East York","43.6904891","-79.3502919","43.7007814","-79.3197313","53315","43.69563525","-79.3350116"
"96","95","Palmerston-Little Italy","43.6543498","-79.4287781","43.6630364","-79.408185","58071","43.6586931","-79.41848155"
"97","96","Parkwoods-Donalda","43.74171","-79.3464237","43.7673027","-79.3141393","42516","43.75450635","-79.3302815"
"98","97","Pelmo Park-Humberlea","43.7072238","-79.5416179","43.7347138","-79.5130274","39003","43.7209688","-79.52732265"
"99","98","Playter Estates-Danforth","43.6766335","-79.3606091","43.6838041","-79.3462456","70831","43.6802188","-79.35342735"
"100","99","Pleasant View","43.7751741","-79.3431225","43.8003721","-79.3262973","36346","43.7877731","-79.3347099"
"101","100","Princess-Rosethorn","43.6520747","-79.5588733","43.6783591","-79.5285315","99055","43.6652169","-79.5437024"
"102","101","Regent Park","43.6560211","-79.3653819","43.661477","-79.3561176","34597","43.659641","-79.361522"
"103","102","Rexdale-Kipling","43.7138349","-79.5734472","43.7340492","-79.5573132","34418","43.72394205","-79.5653802"
"104","103","Rockcliffe-Smythe","43.6660541","-79.5079176","43.6834238","-79.4752834","34059","43.67473895","-79.4916005"
"105","104","Roncesvalles","43.6405619","-79.4511385","43.6542171","-79.4305216","50580","43.647555","-79.449418"
"106","105","Rosedale-Moore Park","43.6713021","-79.3928741","43.6942002","-79.3689897","207903","43.68275115","-79.3809319"
"107","106","Rouge","43.7776392","-79.2362768","43.8393717","-79.1240938","39556","43.80850545","-79.1801853"
"108","107","Runnymede-Bloor West Village","43.6503257","-79.4937863","43.6649861","-79.4772217","71888","43.658890","-79.483729"
"109","108","Rustic","43.7064122","-79.5039345","43.7167967","-79.4893928","31800","43.71160445","-79.49666365"
"110","109","Scarborough Village","43.7295825","-79.2257962","43.7481936","-79.206643","32913","43.73888805","-79.2162196"
